field_id,year,crop_code,crop_name,dominant_pct,total_pixels
FIELD_0001,2020,5,Soybeans,90.4,307492
FIELD_0001,2021,5,Soybeans,89.0,307492
FIELD_0001,2022,1,Corn,93.5,307492
FIELD_0001,2023,5,Soybeans,88.3,307492
FIELD_0002,2020,5,Soybeans,94.0,11092
FIELD_0002,2021,1,Corn,95.2,11092
FIELD_0002,2022,5,Soybeans,92.2,11092
FIELD_0002,2023,1,Corn,90.8,11092
FIELD_0003,2020,5,Soybeans,90.8,6720
FIELD_0003,2021,1,Corn,95.6,6720
FIELD_0003,2022,1,Corn,91.8,6720
FIELD_0003,2023,1,Corn,91.4,6720
FIELD_0004,2020,5,Soybeans,93.4,4851
FIELD_0004,2021,1,Corn,91.8,4851
FIELD_0004,2022,5,Soybeans,96.3,4851
FIELD_0004,2023,1,Corn,96.6,4851
FIELD_0005,2020,1,Corn,88.5,5411
FIELD_0005,2021,5,Soybeans,90.9,5411
FIELD_0005,2022,1,Corn,96.7,5411
FIELD_0005,2023,5,Soybeans,92.5,5411
FIELD_0006,2020,1,Corn,94.7,24336
FIELD_0006,2021,5,Soybeans,94.8,24336
FIELD_0006,2022,90,Cotton,78.4,24336
FIELD_0006,2023,1,Corn,89.6,24336
FIELD_0007,2020,5,Soybeans,94.4,37427
FIELD_0007,2021,1,Corn,94.8,37427
FIELD_0007,2022,5,Soybeans,95.8,37427
FIELD_0007,2023,1,Corn,88.3,37427
FIELD_0008,2020,5,Soybeans,90.1,365390
FIELD_0008,2021,1,Corn,96.8,365390
FIELD_0008,2022,5,Soybeans,94.6,365390
FIELD_0008,2023,1,Corn,97.1,365390
FIELD_0009,2020,1,Corn,90.5,435393
FIELD_0009,2021,5,Soybeans,90.6,435393
FIELD_0009,2022,1,Corn,97.0,435393
FIELD_0009,2023,5,Soybeans,90.2,435393
FIELD_0010,2020,1,Corn,96.6,16891
FIELD_0010,2021,1,Corn,89.6,16891
FIELD_0010,2022,5,Soybeans,94.0,16891
FIELD_0010,2023,5,Soybeans,94.0,16891
FIELD_0011,2020,1,Corn,93.5,345539
FIELD_0011,2021,5,Soybeans,94.8,345539
FIELD_0011,2022,1,Corn,96.8,345539
FIELD_0011,2023,5,Soybeans,95.7,345539
FIELD_0012,2020,5,Soybeans,89.6,231922
FIELD_0012,2021,90,Cotton,92.5,231922
FIELD_0012,2022,5,Soybeans,93.0,231922
FIELD_0012,2023,1,Corn,97.1,231922
FIELD_0013,2020,1,Corn,94.1,178554
FIELD_0013,2021,5,Soybeans,95.6,178554
FIELD_0013,2022,1,Corn,95.8,178554
FIELD_0013,2023,5,Soybeans,88.0,178554
FIELD_0014,2020,5,Soybeans,96.8,427716
FIELD_0014,2021,1,Corn,91.1,427716
FIELD_0014,2022,90,Cotton,93.9,427716
FIELD_0014,2023,5,Soybeans,96.2,427716
FIELD_0015,2020,5,Soybeans,94.6,74221
FIELD_0015,2021,1,Corn,89.7,74221
FIELD_0015,2022,5,Soybeans,94.1,74221
FIELD_0015,2023,5,Soybeans,97.3,74221
FIELD_0016,2020,5,Soybeans,92.0,73811
FIELD_0016,2021,1,Corn,91.7,73811
FIELD_0016,2022,5,Soybeans,92.5,73811
FIELD_0016,2023,5,Soybeans,88.6,73811
FIELD_0017,2020,5,Soybeans,93.9,84822
FIELD_0017,2021,90,Cotton,87.6,84822
FIELD_0017,2022,5,Soybeans,97.1,84822
FIELD_0017,2023,1,Corn,88.7,84822
FIELD_0018,2020,5,Soybeans,90.1,13357
FIELD_0018,2021,1,Corn,97.4,13357
FIELD_0018,2022,5,Soybeans,92.7,13357
FIELD_0018,2023,1,Corn,96.1,13357
FIELD_0019,2020,5,Soybeans,91.5,63434
FIELD_0019,2021,1,Corn,96.6,63434
FIELD_0019,2022,90,Cotton,94.7,63434
FIELD_0019,2023,5,Soybeans,95.3,63434
FIELD_0020,2020,1,Corn,93.4,273497
FIELD_0020,2021,5,Soybeans,89.8,273497
FIELD_0020,2022,1,Corn,96.7,273497
FIELD_0020,2023,90,Cotton,77.0,273497
FIELD_0021,2020,1,Corn,88.1,225111
FIELD_0021,2021,1,Corn,89.7,225111
FIELD_0021,2022,1,Corn,90.1,225111
FIELD_0021,2023,5,Soybeans,88.6,225111
FIELD_0022,2020,5,Soybeans,90.7,16527
FIELD_0022,2021,1,Corn,92.6,16527
FIELD_0022,2022,5,Soybeans,97.6,16527
FIELD_0022,2023,1,Corn,93.6,16527
FIELD_0023,2020,1,Corn,97.7,273887
FIELD_0023,2021,5,Soybeans,93.4,273887
FIELD_0023,2022,1,Corn,88.6,273887
FIELD_0023,2023,90,Cotton,85.1,273887
FIELD_0024,2020,1,Corn,88.8,20624
FIELD_0024,2021,5,Soybeans,94.0,20624
FIELD_0024,2022,1,Corn,90.4,20624
FIELD_0024,2023,5,Soybeans,96.9,20624
FIELD_0025,2020,5,Soybeans,94.2,46684
FIELD_0025,2021,1,Corn,93.8,46684
FIELD_0025,2022,5,Soybeans,97.3,46684
FIELD_0025,2023,1,Corn,95.2,46684
